# t dt Cd Cl drag_x drag_y pressure_x pressure_y viscous_x viscous_y
0 0 -0.0405 -0 -0.02025 -0 -0 -0 -0.02025 -0
0.05625 0.05625 -33.5688 -14.9821 -16.7844 -7.49106 -16.7599 -6.6103 -0.0244703 -0.880766
0.1125 0.05625 12.1246 8.21876 6.06232 4.10938 6.05151 4.17424 0.0108031 -0.064862
0.16875 0.05625 -10.2701 -10.7143 -5.13504 -5.35717 -4.96566 -5.28606 -0.169379 -0.0711074
0.225 0.05625 -7.00585 -7.2748 -3.50293 -3.6374 -2.99401 -3.64576 -0.508918 0.00835745
0.28125 0.05625 -3.54405 13.0836 -1.77203 6.54178 -1.37923 6.51685 -0.392791 0.0249233
0.3375 0.05625 32.7665 -12.0516 16.3833 -6.02582 16.5431 -4.48416 -0.159883 -1.54166
0.39375 0.05625 25.1958 25.5155 12.5979 12.7578 12.6545 12.6104 -0.0566273 0.147413
0.45 0.05625 -27.1964 -0.359553 -13.5982 -0.179777 -14.1542 -0.789089 0.556007 0.609313
0.50625 0.05625 11.6047 -9.53353 5.80237 -4.76676 6.00807 -4.89028 -0.205697 0.123514
0.5625 0.05625 1.73927 -28.5948 0.869635 -14.2974 0.852074 -12.8974 0.0175614 -1.39999
0.61875 0.05625 -3.44024 23.401 -1.72012 11.7005 -2.01926 11.553 0.29914 0.14745
0.675 0.05625 36.2196 -17.4396 18.1098 -8.71982 18.1942 -9.97453 -0.0844097 1.25471
0.73125 0.05625 12.7562 49.0689 6.37808 24.5345 7.28065 26.1794 -0.90257 -1.64494
0.7875 0.05625 8.45565 32.7906 4.22782 16.3953 5.27158 17.5038 -1.04375 -1.10856
0.84375 0.05625 170.026 5.5465 85.0131 2.77325 77.5261 3.13531 7.487 -0.362061
0.9 0.05625 -373.865 199.609 -186.933 99.8044 -186.869 99.8292 -0.0639956 -0.0247201
0.95625 0.05625 -9.27861 11.4095 -4.63931 5.70476 -4.67869 5.84078 0.0393825 -0.136025
1.0125 0.05625 -7.049 0.370097 -3.5245 0.185048 -3.51029 0.228788 -0.014211 -0.0437392
1.06875 0.05625 19.429 -14.3199 9.71448 -7.15995 9.9973 -7.10939 -0.282826 -0.050562
1.125 0.05625 9.48186 -11.8818 4.74093 -5.94088 4.93332 -5.90611 -0.19239 -0.0347685
1.18125 0.05625 -21.532 8.44677 -10.766 4.22338 -10.6893 4.16092 -0.0766628 0.0624619
1.2375 0.05625 -1.81496 -1.76599 -0.907482 -0.882995 -0.792398 -0.854402 -0.115084 -0.0285931
1.29375 0.05625 31.9309 -40.8631 15.9654 -20.4316 16.027 -19.5789 -0.0615472 -0.852627
1.35 0.05625 -146.631 -79.2206 -73.3155 -39.6103 -74.7435 -40.2242 1.42798 0.61394
1.40625 0.05625 1547.68 166.454 773.842 83.227 819.305 75.3557 -45.4629 7.87129
1.4625 0.05625 490.049 2472.01 245.024 1236 247.963 1224.72 -2.93829 11.2875
1.51875 0.05625 -658.225 -224.014 -329.113 -112.007 -329.225 -112.595 0.112061 0.588504
1.575 0.05625 -74.9169 -1392.51 -37.4585 -696.255 -45.3283 -699.935 7.86983 3.67976
1.63125 0.05625 441.587 15.7721 220.793 7.88607 225.373 7.38777 -4.57969 0.498296
1.6875 0.05625 -378.549 -247.16 -189.274 -123.58 -181.607 -121.5 -7.66734 -2.08045
1.74375 0.05625 -221.92 222.9 -110.96 111.45 -112.468 127.566 1.50767 -16.1163
1.8 0.05625 1935.75 9943.74 967.875 4971.87 968.168 4972.92 -0.292373 -1.05514
1.85625 0.05625 -29853.5 -35370.3 -14926.8 -17685.2 -14931.6 -17742.4 4.80345 57.244
1.9125 0.05625 -3212.29 8390.39 -1606.14 4195.19 -1608.57 4194.39 2.42326 0.801174
1.96875 0.05625 1315.13 -1397.51 657.567 -698.755 662.755 -699.374 -5.18745 0.619514
2.025 0.05625 895.454 680.779 447.727 340.389 448.793 341.87 -1.06567 -1.48091
2.08125 0.05625 -1233.24 487.225 -616.621 243.613 -612.731 235.246 -3.89034 8.36711
2.1375 0.05625 -702.7 11749.1 -351.35 5874.56 -350 5874.28 -1.34998 0.284537
2.19375 0.05625 7410.22 -3840.31 3705.11 -1920.15 3706.08 -1908.51 -0.968194 -11.6406
2.25 0.05625 -2923.34 2692.79 -1461.67 1346.4 -1472.42 1354.1 10.7505 -7.70638
2.30625 0.05625 -241.342 3771.3 -120.671 1885.65 -120.763 1885.95 0.0919089 -0.302899
2.3625 0.05625 -3504.51 131.049 -1752.25 65.5247 -1755.67 65.708 3.41373 -0.183265
2.41875 0.05625 -1325.39 -547.471 -662.693 -273.735 -663.286 -273.712 0.593903 -0.023704
2.475 0.05625 129.112 1022.13 64.5559 511.065 69.1619 497.329 -4.60602 13.7359
2.53125 0.05625 -901.823 3534.86 -450.911 1767.43 -443.258 1767.94 -7.65341 -0.506185
2.5875 0.05625 6707.4 -10342.2 3353.7 -5171.11 3357.37 -5169.2 -3.67451 -1.90681
2.64375 0.05625 13532.8 6378.57 6766.39 3189.28 6766.31 3189.03 0.0814546 0.250602
2.7 0.05625 92.3591 -14.0688 46.1796 -7.0344 45.9311 -6.95915 0.248455 -0.0752518
2.75625 0.05625 72.0812 1.02784 36.0406 0.513922 35.6091 0.728749 0.431525 -0.214827
2.8125 0.05625 62.986 35.2935 31.493 17.6467 30.8145 18.477 0.678434 -0.830262
